Timestamp;QPU;Fid_Media_1Q_%;Fid_Media_2Q_%;Fid_Lectura_%
2026-05-16 07:42:07;Forte 1;N/A;98.67;99.61
2026-05-16 19:42:11;Cepheus-1-108Q;96.44;91.69;94.01
2026-05-16 19:42:11;Garnet;99.86;98.49;97.67
2026-05-16 19:42:11;Forte 1;N/A;98.67;99.61
2026-05-17 07:42:15;Cepheus-1-108Q;97.4;92.73;94.06
2026-05-17 07:42:15;Garnet;99.79;98.56;96.95
2026-05-17 07:42:15;Forte 1;N/A;98.67;99.61
2026-05-17 19:42:18;Cepheus-1-108Q;97.4;92.02;94.44
2026-05-17 19:42:18;Garnet;99.91;99.09;97.85
2026-05-17 19:42:18;Forte 1;N/A;98.67;99.61
2026-05-18 07:42:22;Cepheus-1-108Q;97.42;92.8;94.39
2026-05-18 07:42:22;Garnet;99.86;98.56;97.68
2026-05-18 07:42:22;Forte 1;N/A;98.67;99.61
2026-05-18 19:42:26;Cepheus-1-108Q;97.4;91.77;94.08
2026-05-18 19:42:26;Garnet;99.91;99.1;98.03
2026-05-18 19:42:26;Forte 1;N/A;98.67;99.61
2026-05-19 07:42:30;Cepheus-1-108Q;96.93;92.32;94.31
2026-05-19 07:42:30;Garnet;99.91;98.89;97.95
2026-05-19 07:42:30;Forte 1;N/A;98.67;99.61
2026-05-19 19:42:34;Cepheus-1-108Q;96.93;90.97;94.51
2026-05-19 19:42:34;Garnet;99.86;98.72;97.77
2026-05-19 19:42:34;Forte 1;N/A;98.67;99.61
2026-05-20 07:42:37;Cepheus-1-108Q;97.37;91.79;94.39
2026-05-20 07:42:37;Garnet;99.81;98.64;97.62
2026-05-20 07:42:37;Forte 1;N/A;98.67;99.61
2026-05-20 19:42:41;Cepheus-1-108Q;95.52;93.19;94.24
2026-05-20 19:42:41;Garnet;99.89;98.82;97.95
2026-05-20 19:42:41;Forte 1;N/A;98.67;99.61
2026-05-21 07:42:45;Cepheus-1-108Q;97.37;91.55;94.34
2026-05-21 07:42:45;Garnet;99.91;99.03;97.59
2026-05-21 07:42:45;Forte 1;N/A;98.67;99.61
