Timestamp;QPU_Name;Estado;Tareas_Normales_Cola;Trabajos_Hibridos_Cola
2026-05-03 11:46:31;Forte 1;ONLINE;8;0
2026-05-03 12:46:35;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 12:46:35;Garnet;ONLINE;8;0
2026-05-03 12:46:35;Forte 1;ONLINE;8;0
2026-05-03 13:46:41;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 13:46:41;Garnet;ONLINE;8;0
2026-05-03 13:46:41;Forte 1;ONLINE;0;0
2026-05-03 14:46:46;Cepheus-1-108Q;ONLINE;1;0
2026-05-03 14:46:46;Garnet;ONLINE;8;0
2026-05-03 14:46:46;Forte 1;ONLINE;0;0
2026-05-03 15:46:52;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 15:46:52;Garnet;ONLINE;8;0
2026-05-03 15:46:52;Forte 1;ONLINE;0;0
2026-05-03 16:46:57;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 16:46:57;Garnet;ONLINE;9;0
2026-05-03 16:46:57;Forte 1;ONLINE;0;0
2026-05-03 17:47:03;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 17:47:03;Garnet;ONLINE;9;0
2026-05-03 17:47:03;Forte 1;ONLINE;0;0
2026-05-03 18:47:08;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 18:47:08;Garnet;ONLINE;9;0
2026-05-03 18:47:08;Forte 1;ONLINE;0;0
2026-05-03 19:47:14;Cepheus-1-108Q;ONLINE;1;0
2026-05-03 19:47:14;Garnet;ONLINE;9;0
2026-05-03 19:47:14;Forte 1;ONLINE;0;0
2026-05-03 20:47:19;Cepheus-1-108Q;ONLINE;1;0
2026-05-03 20:47:19;Garnet;ONLINE;9;0
2026-05-03 20:47:19;Forte 1;ONLINE;0;0
2026-05-03 21:47:25;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 21:47:25;Garnet;ONLINE;9;0
2026-05-03 21:47:25;Forte 1;ONLINE;0;0
2026-05-03 22:47:31;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 22:47:31;Garnet;ONLINE;9;0
2026-05-03 22:47:31;Forte 1;ONLINE;0;0
2026-05-03 23:47:36;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 23:47:36;Garnet;ONLINE;9;0
2026-05-03 23:47:36;Forte 1;ONLINE;0;0
2026-05-04 00:47:41;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 00:47:41;Garnet;ONLINE;0;0
2026-05-04 00:47:41;Forte 1;ONLINE;0;0
2026-05-04 01:47:47;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 01:47:47;Garnet;ONLINE;1;0
2026-05-04 01:47:47;Forte 1;ONLINE;0;0
2026-05-04 02:47:52;Cepheus-1-108Q;ONLINE;1;0
